GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
domain,de.openknowlegde.ausbildung.mbi.domain.school,SchoolClass,236,0,36,0,52,0,36,0,18,0
domain,de.openknowlegde.ausbildung.mbi.domain.school,Description,41,0,6,0,11,0,7,0,4,0
domain,de.openknowlegde.ausbildung.mbi.domain.school,ClassActions,753,0,74,0,141,0,56,0,16,0
domain,de.openknowlegde.ausbildung.mbi.domain.school,Level,41,0,6,0,11,0,7,0,4,0
domain,de.openknowlegde.ausbildung.mbi.domain.school,ClassName,83,0,16,0,22,0,17,0,9,0
domain,de.openknowlegde.ausbildung.mbi.domain.testdata,FirstNames,339,0,0,0,4,0,1,0,1,0
domain,de.openknowlegde.ausbildung.mbi.domain.testdata,CityList,2601,0,0,0,433,0,1,0,1,0
domain,de.openknowlegde.ausbildung.mbi.domain.testdata,LastNames,291,0,0,0,49,0,1,0,1,0
domain,de.openknowlegde.ausbildung.mbi.domain.testdata,StreetList,597,0,0,0,96,0,1,0,1,0
domain,de.openknowlegde.ausbildung.mbi.domain.actions,Actions,240,0,10,0,46,0,15,0,10,0
domain,de.openknowlegde.ausbildung.mbi.domain.person,Phone,143,33,21,1,28,9,19,3,8,3
domain,de.openknowlegde.ausbildung.mbi.domain.person,FirstName,63,20,14,2,17,5,14,3,6,3
domain,de.openknowlegde.ausbildung.mbi.domain.person,TeacherActions,160,0,7,0,33,0,9,0,4,0
domain,de.openknowlegde.ausbildung.mbi.domain.person,Human,283,0,49,0,61,0,45,0,20,0
domain,de.openknowlegde.ausbildung.mbi.domain.person,StudentActions,127,0,7,0,24,0,8,0,3,0
domain,de.openknowlegde.ausbildung.mbi.domain.person,Teacher,39,0,0,0,5,0,3,0,3,0
domain,de.openknowlegde.ausbildung.mbi.domain.person,Student,16,0,0,0,3,0,2,0,2,0
domain,de.openknowlegde.ausbildung.mbi.domain.person,Address,202,0,22,0,36,0,26,0,15,0
domain,de.openknowlegde.ausbildung.mbi.domain.person,LastName,83,0,16,0,22,0,17,0,9,0
domain,de.openknowlegde.ausbildung.mbi.domain.person,Birthday,41,0,6,0,11,0,7,0,4,0
domain,de.openknowlegde.ausbildung.mbi.domain.adressing,CityName,83,0,16,0,22,0,17,0,9,0
domain,de.openknowlegde.ausbildung.mbi.domain.adressing,City,69,0,8,0,16,0,10,0,6,0
domain,de.openknowlegde.ausbildung.mbi.domain.adressing,HouseNumber,67,0,12,0,16,0,12,0,6,0
domain,de.openknowlegde.ausbildung.mbi.domain.adressing,Zip,52,15,12,0,10,6,9,3,3,3
domain,de.openknowlegde.ausbildung.mbi.domain.adressing,Street,51,26,7,1,10,7,8,3,4,3
