ID,Vorname,Nachname,Geburtstag,Typ,Adresse,Telefon,Klasse,
519c939b-bff8-4b93-b584-261a5841fe93,Foline,Abdellah,1980-08-12,lehrer,Kirchweg 16 2231 Ahrensbök,n0,
6cd4f69e-3b09-4d1f-90dc-155520980bb4,Gerke,Abdelkarim,1995-03-14,lehrer,Gartenweg 21 2727 Ahrenshoop,
f771a173-e61b-4301-ad64-b89c957e47e0,Tammo,Abderrahman,2002-01-08,lehrer,Blumenstraße 90 2371 Aufseß,m2,
0bc12d56-3f56-47be-8892-7f3dab788e5f,Geertje,Aaron,2006-07-21,lehrer,Lerchenweg 1 5523 Aholming,a3,
fcab5f20-1fca-4b3d-9cfd-8f678b7f455f,Kea,Abali,1987-06-01,lehrer,Marienstraße 80 5983 Alpirsbach,
ca97db3b-cfef-4cfd-819a-2c4748cca5ea,Theda,Abdellatif,1983-07-30,schueler,Marienstraße 43 9527 Auufer,n0,
b3da9e84-c3bb-4dcd-a5e8-77d957693a0f,Tammo,AbdelKarim,1986-08-24,schueler,Königsberg 21 9755 Alkersleben,n0,
017e23ad-9093-41a4-b7f3-49e120af52f9,Tammo,Aarns,1988-01-07,schueler,Sportplatz 70 5838 Ascheberg_Holstein,n0,
9a4e07c3-2638-4437-ac1c-6389d6b69fdc,Bonno,Abdulla,1979-10-12,schueler,Marienstraße 45 5941 Amelinghausen,n0,
8b94310c-5631-49be-b579-46e49945e325,Mena,Aal,1976-04-15,schueler,Drosselweg 28 9381 Arnbruck,n0,
ff71b9de-d99c-4ebb-a340-26f1e9127e33,Broer,Abdalrahman,2004-11-19,schueler,Uhlandstraße 87 7197 Altenahr,n0,
68ef4304-9e5a-4f7a-91a9-ced1a835dcd1,Gerke,Abdellah,1984-02-01,schueler,Bahnhof 27 4623 Allendorf_Thüringen,n0,
7aaa39df-aaeb-4a07-9203-80eb9059a10f,Meta,Aarents,1983-03-27,schueler,Lindenweg 2 4409 Amberg_Oberpfalz,n0,
2d82df0f-3900-46dd-8d7e-c2554b25f7bf,Mena,Abay,1974-05-15,schueler,Bachstraße 78 504 Altdöbern,n0,
af8c93a4-2b0d-41a0-87d0-6d113850f8e7,Theda,Aaron,1983-06-07,schueler,Marktstraße 91 2705 Agethorst,n0,
5c99ca04-205b-441b-9595-361a24823dd4,Jelde,Abdellatif,2009-03-24,schueler,Friedhofsweg 49 9587 Altenburg,n0,
8cc72cbf-c377-4e88-ac8f-c515df741b07,Dirkea,Aandekerk,2005-02-23,schueler,Waldstraße 8 6063 Ansbach,n0,
35990d14-dfbd-4005-a6b5-ef2b8ecfbea0,Theda,Abdelkarim,1983-07-30,schueler,Marktstraße 47 9236 Antrifttal,n0,
0d926341-f834-40f0-81a3-4675a5069161,Tomke,Abdellah,1983-08-22,schueler,Beethovenstraße 29 2446 Allmersbach_im_Tal,n0,
68b91daf-232f-447a-abc9-68ef55bd75c9,Bonno,Abben,1988-05-29,schueler,Lange_Straße 29 591 Alsleben_Saale,n0,
510a919d-1d15-4774-a3e8-7528d35d4bac,Krino,Abbott,2007-06-25,schueler,Berliner_Straße 86 3805 Alt_Tucheband,n0,
faf9c755-6e29-4d1c-87a5-082fd9c41633,Kea,Abbetmeier,2003-09-14,schueler,Lessingstraße 90 3471 Aitrach,n0,
e29cc135-0180-420b-ab03-fefb8bb66979,Foline,Aaron,2007-06-28,schueler,Römerstraße 73 9926 Aitrach,n0,
6040cb8a-3ea0-407a-9093-6b6953695081,Menno,Abdelkader,2011-10-30,schueler,Ringstraße 83 2817 Alterkülz,n0,
2cce3bca-fda2-4eda-beca-e27d27d6e79e,Tido,Abdulkarim,1998-03-31,schueler,Kastanienweg 81 7297 Auen,n0,
c87c0d02-392d-453f-9e8f-b234fe61f896,Abbo,Abay,1977-10-28,schueler,DorfstraßeBergstraße 72 2869 Astert,n0,
4e2ea0b4-e855-4a54-8522-befc4732f5f7,Antje,Abdelrahman,1988-11-18,schueler,Bachstraße 70 9915 Adelzhausen,n0,
613194bd-61b9-4f47-94f3-e215548fe282,Habbo,Abdullah,2011-08-25,schueler,Kiefernweg 77 9674 Absberg,n0,
e0359d8e-c25a-4ece-ba95-c15ae269bf47,Dirkea,Abay,2000-03-28,schueler,Brunnenstraße 73 89 Adenbüttel,n0,
50aba18d-9bf7-4d1f-b39d-dd5423472a47,Ditje,Abdelhamid,2014-06-19,schueler,Kiefernweg 13 8401 Arzberg_Sachsen,n0,
01b6c4a5-d01f-432f-9541-cf0dd00605e3,Tialda,Abdullah,1985-11-23,schueler,Breslauer 63 254 Auel,n0,
c7eed7c7-e1a8-4c24-abd7-35f038333398,Dirkea,Abdelrahman,1991-07-20,schueler,Jahnstraße 85 7604 Alt_Bukow,n0,
